kind,amount,dt,msg,fee,category
Salg,800,24.04.2019 13:28,,60,Buffet
Salg,6600,24.04.2019 14:37,,60,Buffet
Salg,800,24.04.2019 14:59,,60,Buffet
Salg,300,24.04.2019 16:27,,60,Buffet
Salg,1200,24.04.2019 19:15,,60,Buffet
Salg,1000,24.04.2019 21:33,,60,Buffet
Salg,2000,24.04.2019 23:06,,60,Buffet
Gebyr,-960,24.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,20740,24.04.2019 23:59,Udbetaling til konto,960,Overførsel
Salg,1000,25.04.2019 08:47,,60,Buffet
Salg,1000,25.04.2019 08:53,,60,Buffet
Salg,800,25.04.2019 10:11,,60,Buffet
Salg,1800,25.04.2019 10:33,,60,Buffet
Salg,800,25.04.2019 10:36,,60,Buffet
Salg,1000,25.04.2019 11:59,,60,Buffet
Salg,1400,25.04.2019 12:32,,60,Buffet
Salg,1000,25.04.2019 12:38,To toast,60,Buffet
Salg,800,25.04.2019 14:00,,60,Buffet
Salg,2400,25.04.2019 15:49,,60,Buffet
Salg,1000,25.04.2019 16:19,,60,Buffet
Gebyr,-660,25.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,12340,25.04.2019 23:59,Udbetaling til konto,660,Overførsel
Salg,1300,26.04.2019 09:17,,60,Buffet
Salg,2300,26.04.2019 09:39,,60,Buffet
Salg,500,26.04.2019 09:43,,60,Buffet
Salg,500,26.04.2019 14:40,,60,Buffet
Salg,1500,26.04.2019 23:29,,60,Buffet
Gebyr,-300,26.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,5800,26.04.2019 23:59,Udbetaling til konto,300,Overførsel
Salg,2000,29.04.2019 09:09,,60,Buffet
Salg,500,29.04.2019 10:28,,60,Buffet
Salg,1300,29.04.2019 12:13,,60,Buffet
Salg,1300,29.04.2019 12:23,,60,Buffet
Salg,400,29.04.2019 15:02,,60,Buffet
Salg,500,29.04.2019 15:06,,60,Buffet
Salg,600,29.04.2019 15:09,,60,Buffet
Salg,1600,29.04.2019 17:12,,60,Buffet
Gebyr,-480,29.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,7720,29.04.2019 23:59,Udbetaling til konto,480,Overførsel
Salg,1000,30.04.2019 09:11,,60,Buffet
Salg,400,30.04.2019 10:11,,60,Buffet
Salg,150,30.04.2019 11:00,,60,Buffet
Salg,2000,30.04.2019 11:06,,60,Buffet
Salg,800,30.04.2019 11:06,,60,Buffet
Salg,800,30.04.2019 11:07,,60,Buffet
Salg,800,30.04.2019 11:07,,60,Buffet
Salg,1400,30.04.2019 11:07,,60,Buffet
Salg,1000,30.04.2019 11:56,,60,Buffet
Salg,800,30.04.2019 12:08,Pengui,60,Buffet
Salg,2300,30.04.2019 12:14,,60,Buffet
Salg,1500,30.04.2019 12:41,,60,Buffet
Salg,1000,30.04.2019 14:08,,60,Buffet
Salg,600,30.04.2019 14:16,,60,Buffet
Salg,800,30.04.2019 14:41,,60,Buffet
Salg,1500,30.04.2019 14:57,,60,Buffet
Salg,900,30.04.2019 16:56,,60,Buffet
Salg,600,30.04.2019 17:25,,60,Buffet
Salg,400,30.04.2019 18:01,,60,Buffet
Gebyr,-1140,30.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,17610,30.04.2019 23:59,Udbetaling til konto,1140,Overførsel
